program_id,title,program_description,cleaned_description
51286,Meurtres à la Pointe du Raz,"Au pied de la Pointe du Raz, le corps d’une vielle femme est retrouvé échoué sur la plage. Ce qui ressemble à une noyade accidentelle va très vite s’avérer être un meurtre. Une affaire criminelle d’autant plus étrange qu’elle réveille une vieille légende Bretonne encore vivace dans la région, celle de l’Ankou. Cet ouvrier de la mort, qui à bord de sa charrette, recueille les âmes des défunts pour les faire passer sur l’autre rive","au pied de la pointe du raz, le corps d’une vielle femme est retrouvé échoué sur la plage. ce qui ressemble à une noyade accidentelle va très vite s’avérer être un meurtre. une affaire criminelle d’autant plus étrange qu’elle réveille une vieille légende bretonne encore vivace dans la région, celle de l’ankou. cet ouvrier de la mort, qui à bord de sa charrette, recueille les âmes des défunts pour les faire passer sur l’autre rive"
46812,El Embarcadero,"Ceci est l'histoire d’Alexandra, une architecte renommée qui, à la suite du suicide de son mari Oscar, se retrouve dévastée par la découverte de la double vie que celui-ci menait avec une autre femme, Veronica, et leur enfant. Pour ne pas sombrer et tout connaître de cette liaison cachée, Alexandra décide de se rapprocher de Veronica, de s’en faire une amie...","ceci est l'histoire d’alexandra, une architecte renommée qui, à la suite du suicide de son mari oscar, se retrouve dévastée par la découverte de la double vie que celui-ci menait avec une autre femme, veronica, et leur enfant. pour ne pas sombrer et tout connaître de cette liaison cachée, alexandra décide de se rapprocher de veronica, de s’en faire une amie..."
48966,Manifest,"Un avion disparaît des radars… et atterrit cinq ans et demi plus tard ! Les passagers, sains et saufs, n’ont pas vieilli mais ils se retrouvent confrontés à un problème de taille. Tout le monde les pensait morts et pendant leur absence, la vie a suivi son cours. Ils doivent désormais s’adapter à leur nouvelle existence","un avion disparaît des radars… et atterrit cinq ans et demi plus tard ! les passagers, sains et saufs, n’ont pas vieilli mais ils se retrouvent confrontés à un problème de taille. tout le monde les pensait morts et pendant leur absence, la vie a suivi son cours. ils doivent désormais s’adapter à leur nouvelle existence"
46900,Tandem,"Le commandant Léa Soler est mutée dans la brigade du capitaine Paul Marchal, son ex-mari et vont tant bien que mal devoir faire équipe. Ils seront aussi obligés de se croiser en dehors du travail car le tandem a deux adolescents, Alice et Thomas, à gérer","le commandant léa soler est mutée dans la brigade du capitaine paul marchal, son ex-mari et vont tant bien que mal devoir faire équipe. ils seront aussi obligés de se croiser en dehors du travail car le tandem a deux adolescents, alice et thomas, à gérer"
50638,Hawaii 5-0,"Le commandant Steve McGarrett se rend à Oahu pour enquêter sur l'assassinat de son père. Une fois sur place, le gouverneur le persuade de rester et rejoindre l'unité des forces spéciales, qui combat le crime à Hawaii","le commandant steve mcgarrett se rend à oahu pour enquêter sur l'assassinat de son père. une fois sur place, le gouverneur le persuade de rester et rejoindre l'unité des forces spéciales, qui combat le crime à hawaii"
47726,Ma famille d'abord,"Michael Kyle est un mari aimant et un père de famille comblé. Mais il n'est pas toujours facile d'élever trois enfants. Entre un fils passionné de musique rap, une fille adolescente qui lui cause bien des soucis et la benjamine qui veut toujours avoir le dernier mot, on ne s'ennuie pas avec la famille Kyle.","michael kyle est un mari aimant et un père de famille comblé. mais il n'est pas toujours facile d'élever trois enfants. entre un fils passionné de musique rap, une fille adolescente qui lui cause bien des soucis et la benjamine qui veut toujours avoir le dernier mot, on ne s'ennuie pas avec la famille kyle."
49611,Les Mystères de l'Amour,"Des années après leurs premières péripéties sentimentales à la fac et leurs aventures dans les Antilles, la bande d'Hélène et les garçons revient à Paris. Nicolas est photographe, il est en couple avec Ingrid qui gère un bar, José et Bénédicte tiennent un restaurant, Johanna est partie au Texas et Christian persévère dans la musique. Quant à Hélène, seul Nicolas sait ce qu'elle est devenue…","des années après leurs premières péripéties sentimentales à la fac et leurs aventures dans les antilles, la bande d'hélène et les garçons revient à paris. nicolas est photographe, il est en couple avec ingrid qui gère un bar, josé et bénédicte tiennent un restaurant, johanna est partie au texas et christian persévère dans la musique. quant à hélène, seul nicolas sait ce qu'elle est devenue…"
34205,Les Marseillais à Dubaï,"Pour cette nouvelle saison, la grande famille des Marseillais se retrouve à Dubaï, plus en forme que jamais ! Véritable mirage au cœur du désert, avec ses plages de rêve et ses paysages des mille et une nuits, Dubaï la magnifique n'a pas fini de les surprendre !
Et si, ici, tout est possible, plus que jamais Julien, Manon, Jessica, Thibault, Carla, Kevin, Paga, Greg, Maeva, Benji, Océane et Victoria vont devoir redoubler d'efforts pour affronter les épreuves qui les attendent.","pour cette nouvelle saison, la grande famille des marseillais se retrouve à dubaï, plus en forme que jamais ! véritable mirage au cœur du désert, avec ses plages de rêve et ses paysages des mille et une nuits, dubaï la magnifique n'a pas fini de les surprendre !
et si, ici, tout est possible, plus que jamais julien, manon, jessica, thibault, carla, kevin, paga, greg, maeva, benji, océane et victoria vont devoir redoubler d'efforts pour affronter les épreuves qui les attendent."
49723,A Confession,"Le policier Steve Fulcher, déterminé à retrouver une jeune femme disparue, enfreint délibérément la procédure et le protocole de la police pour coincer l’assassin.
Cette décision lui coûtera sa carrière et sa réputation. (basée sur une histoire vraie","le policier steve fulcher, déterminé à retrouver une jeune femme disparue, enfreint délibérément la procédure et le protocole de la police pour coincer l’assassin.
cette décision lui coûtera sa carrière et sa réputation. (basée sur une histoire vraie"
44712,Léo Mattéï - Brigade des mineurs,"Léo Matteï s’installe à Marseille dans l’attente du procès de David, l’homme qui a séquestré sa fille Eloise pendant 8 ans. Père et fille tentent de reprendre le cours d’une vie normale même si l’ombre de David plane sur eux. Après 8 ans rien n’est plus comme avant… la petite fille est devenue une adolescente rebelle aux repères totalement faussés. Et Mattei doit réapprendre son rôle de père. Mais comment se reconstruire après toutes ces années de calvaire ? Éloise est hantée jour et nuit par D…","léo matteï s’installe à marseille dans l’attente du procès de david, l’homme qui a séquestré sa fille eloise pendant 8 ans. père et fille tentent de reprendre le cours d’une vie normale même si l’ombre de david plane sur eux. après 8 ans rien n’est plus comme avant… la petite fille est devenue une adolescente rebelle aux repères totalement faussés. et mattei doit réapprendre son rôle de père. mais comment se reconstruire après toutes ces années de calvaire ? éloise est hantée jour et nuit par d…"
51012,Cellule de crise,"L’élection comme présidente de Suzanne Fontana au sein d’une des plus grandes et influentes agences internationales coïncide avec l’enlèvement, au Yémen, d’un jeune délégué et d’une dizaine de collaborateurs de l’agence. CELLULE DE CRISE raconte dans un monde de communication et de faux-semblants, comment, pour ramener ses otages vivants, une idéaliste de l’humanitaire va devoir se salir les mains, nouer des alliances contre nature et remettre en cause tout ce en quoi elle croyait jusqu’alors","l’élection comme présidente de suzanne fontana au sein d’une des plus grandes et influentes agences internationales coïncide avec l’enlèvement, au yémen, d’un jeune délégué et d’une dizaine de collaborateurs de l’agence. cellule de crise raconte dans un monde de communication et de faux-semblants, comment, pour ramener ses otages vivants, une idéaliste de l’humanitaire va devoir se salir les mains, nouer des alliances contre nature et remettre en cause tout ce en quoi elle croyait jusqu’alors"
51082,Cry Wolf,"Holly, 14 ans, a écrit une rédaction où elle accuse son beau-père de maltraitance. Le travailleur social Lars Madsen reçoit un rapport de l’école et décide d’agir rapidement. En l’espace de quelques heures, il parvient à placer d’urgence la jeune fille et son petit frère en famille d’accueil. Les parents d’Holly nient tout en bloc et sont consternés par la façon dont les services sociaux traitent l’affaire. Lars réussira-t-il à démêler le vrai du faux et mettre au jour leur secret de famille","holly, 14 ans, a écrit une rédaction où elle accuse son beau-père de maltraitance. le travailleur social lars madsen reçoit un rapport de l’école et décide d’agir rapidement. en l’espace de quelques heures, il parvient à placer d’urgence la jeune fille et son petit frère en famille d’accueil. les parents d’holly nient tout en bloc et sont consternés par la façon dont les services sociaux traitent l’affaire. lars réussira-t-il à démêler le vrai du faux et mettre au jour leur secret de famille"
50962,Sublimes créatures,"Ethan, 17 ans, s'ennuie dans sa morne bourgade de Caroline du Sud, où rien ne change jamais. Aussi l'arrivée d'une nouvelle élève au lycée, la singulière et inrovertie Lena, suscite-t-elle d'emblée la curiosité et la suspicion. Contre l'avis de tous, Ethan se rapproche de l'adolescente mystérieuse et découvre bientôt que celle-ci possède des pouvoirs surnaturels","ethan, 17 ans, s'ennuie dans sa morne bourgade de caroline du sud, où rien ne change jamais. aussi l'arrivée d'une nouvelle élève au lycée, la singulière et inrovertie lena, suscite-t-elle d'emblée la curiosité et la suspicion. contre l'avis de tous, ethan se rapproche de l'adolescente mystérieuse et découvre bientôt que celle-ci possède des pouvoirs surnaturels"
10721,Top Chef,"Pour cette nouvelle saison, les cuisines du concours Top Chef vont être le théâtre d'épreuves nouvelles et de challenges inédits. Notre prestigieux jury, composé d'Hélène Darroze, Philippe Etchebest, Paul Pairet et Michel Sarran, a invité des chefs ultra créatifs à participer, parfois pour la première fois, à Top Chef.","pour cette nouvelle saison, les cuisines du concours top chef vont être le théâtre d'épreuves nouvelles et de challenges inédits. notre prestigieux jury, composé d'hélène darroze, philippe etchebest, paul pairet et michel sarran, a invité des chefs ultra créatifs à participer, parfois pour la première fois, à top chef."
49573,S.W.A.T,"LA SAISON 3 EST MAINTENANT DISPONIBLE. A Los Angeles, le sergent Harrelson, que tout le monde appelle Hondo, prend la tête d'une unité d'assaut qui intervient en première ligne contre la criminalité.","la saison 3 est maintenant disponible. a los angeles, le sergent harrelson, que tout le monde appelle hondo, prend la tête d'une unité d'assaut qui intervient en première ligne contre la criminalité."
51159,Polisse,"Les agents de la Brigade de protection des mineurs de Paris sont chargés de diverses affaires concernant des pédophiles, des pickpockets mineurs, des parents maltraitants ou des fugues d'adolescents. Un quotidien pas toujours facile à vivre pour ces hommes et ces femmes finalement comme tous les autres..","les agents de la brigade de protection des mineurs de paris sont chargés de diverses affaires concernant des pédophiles, des pickpockets mineurs, des parents maltraitants ou des fugues d'adolescents. un quotidien pas toujours facile à vivre pour ces hommes et ces femmes finalement comme tous les autres.."
50346,Je te promets,"Paul, et sa femme Florence attendent avec impatience la naissance de leurs triplés. De leur côté, Mathis, un trader comblé vient de retrouver son père biologique mais hésite à le rencontrer ; Maud, une jeune femme en surpoids, n’arrive pas à maigrir et cherche un sens à sa vie et Michaël, footballeur à l'OM, voit sa carrière stoppée après un incident malheureux. Alors que Paul, Mathis, Maud et Michaël fêtent leurs 37 ans, ils font face à des choix importants, qui vont bouleverser leurs vies..","paul, et sa femme florence attendent avec impatience la naissance de leurs triplés. de leur côté, mathis, un trader comblé vient de retrouver son père biologique mais hésite à le rencontrer ; maud, une jeune femme en surpoids, n’arrive pas à maigrir et cherche un sens à sa vie et michaël, footballeur à l'om, voit sa carrière stoppée après un incident malheureux. alors que paul, mathis, maud et michaël fêtent leurs 37 ans, ils font face à des choix importants, qui vont bouleverser leurs vies.."
46021,Downton Abbey,"Les aventures d’une famille d’aristocrates britanniques et de leurs domestiques au sein d’une immense demeure du Yorkshire, à l’aube de la Première Guerre mondiale, dans une société en évolution","les aventures d’une famille d’aristocrates britanniques et de leurs domestiques au sein d’une immense demeure du yorkshire, à l’aube de la première guerre mondiale, dans une société en évolution"
46718,Cassandre,"Une grande femme flic de Paris - et citadine invétérée - est amenée à sacrifier sa carrière pour son fils et prendre de nouvelles fonctions dans un commissariat de province près de lui où rien n’est aussi efficace ni aussi rapide qu’au 36 quai des Orfèvres. Parisienne, elle devra s’adapter à une équipe qui ne l’attend pas, à un monde où les voisins se connaissent sur plusieurs générations et où les nuits à la campagne sont terriblement silencieuses","une grande femme flic de paris - et citadine invétérée - est amenée à sacrifier sa carrière pour son fils et prendre de nouvelles fonctions dans un commissariat de province près de lui où rien n’est aussi efficace ni aussi rapide qu’au 36 quai des orfèvres. parisienne, elle devra s’adapter à une équipe qui ne l’attend pas, à un monde où les voisins se connaissent sur plusieurs générations et où les nuits à la campagne sont terriblement silencieuses"
46041,Grey's Anatomy : Station 19,"LA SAISON 3 EST MAINTENANT DISPONIBLE. Les aventures d'un groupe de pompiers héroïques de Seattle risquant tous les jours leurs vies, tout en gérant les complications de la sphère privée","la saison 3 est maintenant disponible. les aventures d'un groupe de pompiers héroïques de seattle risquant tous les jours leurs vies, tout en gérant les complications de la sphère privée"
50870,La faute à Rousseau,"Rousseau prof de philo contestataire, rebelle, Irrévérencieux… Va s’éclater à partager sa passion pour la philosophie, et donner des armes des élèves en pleine quête de repères. Mais les cordonniers sont toujours les plus mal chaussés, et Rousseau va se retrouver totalement démuni face à son élève préféré… son fils !","rousseau prof de philo contestataire, rebelle, irrévérencieux… va s’éclater à partager sa passion pour la philosophie, et donner des armes des élèves en pleine quête de repères. mais les cordonniers sont toujours les plus mal chaussés, et rousseau va se retrouver totalement démuni face à son élève préféré… son fils !"
48010,Un village français,"Chronique de l'Occupation allemande dans une petite sous-préfecture du Jura. En juin 1940, Villeneuve est bouleversée par l'arrivée de l'armée allemande. L'Occupation de la France vient de commencer, elle va durer quatre ans et faire régner la peur, la faim et le danger. Chronologie de destins ordinaires pris dans les eaux troubles de l'Histoire.","chronique de l'occupation allemande dans une petite sous-préfecture du jura. en juin 1940, villeneuve est bouleversée par l'arrivée de l'armée allemande. l'occupation de la france vient de commencer, elle va durer quatre ans et faire régner la peur, la faim et le danger. chronologie de destins ordinaires pris dans les eaux troubles de l'histoire."
