,program_id,title,tag_genre,mean_age,count_episodes,mean_episode_duration,count_profile_adult,count_profile_kid,count_profile_home,count_profile_f,count_profile_m,count_profile_like,count_profile_not_like,count_profile_view,program_seconds_duration,total_seconds_viewed,seconds_viewed_liked,seconds_viewed_not_like,program_description,ratio_liked,tag_sous_genre_1,tag_sous_genre_2,description_lower,description_clean,description_ready
1121,47401,La promesse de...,telefilms,49.0,1.0,5462.0,61,0,1,46,12,47,15,62,5462.0,331326.0,309086.0,22240.0,"Dans les fonds marins du golfe du Lion, au large de Montpellier, un plongeur déniche dans une épave un trésor que beaucoup convoitent : la statuette en or de Méduse, l’une des trois Gorgonnes de la mythologie. Le lendemain, le bateau du jeune homme est retrouvé vide, à la dérive. Est-ce la malédiction qui entoure la statuette légendaire qui vient encore de frapper ? Ou bien un chasseur de trésors concurrent qui s’en est pris au plongeur ?",75.81,policier,,"dans les fonds marins du golfe du lion, au large de montpellier, un plongeur déniche dans une épave un trésor que beaucoup convoitent : la statuette en or de méduse, l’une des trois gorgonnes de la mythologie. le lendemain, le bateau du jeune homme est retrouvé vide, à la dérive. est-ce la malédiction qui entoure la statuette légendaire qui vient encore de frapper ? ou bien un chasseur de trésors concurrent qui s’en est pris au plongeur ?","['fonds', 'marin', 'golfe', 'lion', 'large', 'montpellier', 'plongeur', 'dénich', 'épave', 'trésor', 'beaucoup', 'convoitent', 'statuette', 'or', 'méduse', 'gorgonne', 'mythologie', 'lendemain', 'bateau', 'jeune', 'homme', 'retrouver', 'vide', 'dérive', 'malédiction', 'entoure', 'statuette', 'légendaire', 'venir', 'frapper', 'bien', 'chasseur', 'trésors', 'concurrent', 'prendre', 'plongeur']",fonds marin golfe lion large montpellier plongeur dénich épave trésor beaucoup convoitent statuette or méduse gorgonne mythologie lendemain bateau jeune homme retrouver vide dérive malédiction entoure statuette légendaire venir frapper bien chasseur trésors concurrent prendre plongeur
87,46886,Je voulais juste rentrer chez moi,telefilms,38.0,1.0,5452.0,2532,0,57,1744,615,1965,629,2594,5452.0,12199079.0,11375204.0,823875.0,"En septembre 1986, les corps de deux enfants sont découverts dans la banlieue de Metz. C’est le début de ""l’Affaire Patrick Dils"". Au-delà de l’une des erreurs judiciaires majeures des annales de la justice, c’est surtout l’histoire d’un combat, celui d’une mère qui va se transformer en guerrière pour affronter la machine judiciaire.",75.75,drame,judiciaire,"en septembre 1986, les corps de deux enfants sont découverts dans la banlieue de metz. c’est le début de ""l’affaire patrick dils"". au-delà de l’une des erreurs judiciaires majeures des annales de la justice, c’est surtout l’histoire d’un combat, celui d’une mère qui va se transformer en guerrière pour affronter la machine judiciaire.","['septembre', 'corps', 'enfant', 'découvrir', 'banlieue', 'metz', 'début', 'affaire', 'patrick', 'dils', 'erreur', 'judiciaire', 'majeur', 'annale', 'justice', 'histoire', 'combat', 'mère', 'transformer', 'guerrier', 'affronter', 'machine', 'judiciaire']",septembre corps enfant découvrir banlieue metz début affaire patrick dils erreur judiciaire majeur annale justice histoire combat mère transformer guerrier affronter machine judiciaire
1075,44296,Kaeloo,jeunesse,33.0,51.0,420.0,30,32,8,18,7,53,17,70,21420.0,759556.0,749200.0,10356.0,"Au Pays-Trop-Mignon, Kaeloo, Moignon, Coin-Coin, Monsieur Chat et leurs amis jouent à des tas de jeux délirants, dans le seul but de se marrer et de faire passer le temps.",75.71,6-8-ans,dessins-animes,"au pays-trop-mignon, kaeloo, moignon, coin-coin, monsieur chat et leurs amis jouent à des tas de jeux délirants, dans le seul but de se marrer et de faire passer le temps.","['pays', 'trop', 'mignon', 'kaeloo', 'moignon', 'coin', 'coin', 'Monsieur', 'chat', 'ami', 'jouent', 'tas', 'jeu', 'délirant', 'but', 'marrer', 'passer', 'temps']",pays trop mignon kaeloo moignon coin coin Monsieur chat ami jouent tas jeu délirant but marrer passer temps
682,50664,Amoureux & Associés,telefilms,42.0,1.0,5083.0,193,0,4,146,33,149,48,197,5083.0,880137.0,803910.0,76227.0,"Skye travaille pour une créatrice de mode et a toujours rêvé de concevoir une collection. Lorsqu'elle se fait licencier, elle décide de lancer sa propre marque et va s'associer avec Jason, un entrepreneur, pour créer une boutique de vêtements dans un ancien food truck !",75.63,romance,,"skye travaille pour une créatrice de mode et a toujours rêvé de concevoir une collection. lorsqu'elle se fait licencier, elle décide de lancer sa propre marque et va s'associer avec jason, un entrepreneur, pour créer une boutique de vêtements dans un ancien food truck !","['skye', 'travaill', 'créateur', 'mode', 'rêvé', 'concevoir', 'collection', 'licencier', 'décide', 'lancer', 'propre', 'marque', 'associer', 'jason', 'entrepreneur', 'créer', 'boutique', 'vêtement', 'ancien', 'food', 'truck']",skye travaill créateur mode rêvé concevoir collection licencier décide lancer propre marque associer jason entrepreneur créer boutique vêtement ancien food truck
0,50753,Les Marseillais,divertissement,26.0,51.0,2633.29,120665,7,8145,80654,30624,97928,31591,129519,134298.0,5800853701.0,5655516851.0,145336850.0,"Pour cette nouvelle saison, la grande famille des Marseillais se retrouve à Dubaï, plus en forme que jamais ! Véritable mirage au cœur du désert, avec ses plages de rêve et ses paysages des mille et une nuits, Dubaï la magnifique n'a pas fini de les surprendre !
Et si, ici, tout est possible, plus que jamais Julien, Manon, Jessica, Thibault, Carla, Kevin, Paga, Greg, Maeva, Benji, Océane et Victoria vont devoir redoubler d'efforts pour affronter les épreuves qui les attendent.",75.61,telerealite,,"pour cette nouvelle saison, la grande famille des marseillais se retrouve à dubaï, plus en forme que jamais ! véritable mirage au cœur du désert, avec ses plages de rêve et ses paysages des mille et une nuits, dubaï la magnifique n'a pas fini de les surprendre !
et si, ici, tout est possible, plus que jamais julien, manon, jessica, thibault, carla, kevin, paga, greg, maeva, benji, océane et victoria vont devoir redoubler d'efforts pour affronter les épreuves qui les attendent.","['saison', 'grand', 'famille', 'marseillais', 'retrouve', 'dubaï', 'forme', 'jamais', 'véritable', 'mirage', 'cœur', 'désert', 'plage', 'rêve', 'paysage', 'nuit', 'dubaï', 'magnifique', 'finir', 'surprendre', 'ici', 'jamais', 'julien', 'manon', 'jessica', 'thibault', 'carla', 'kevin', 'paga', 'greg', 'maeva', 'benji', 'océane', 'victoria', 'devoir', 'redoubler', 'effort', 'affronter', 'épreuve', 'attendre']",saison grand famille marseillais retrouve dubaï forme jamais véritable mirage cœur désert plage rêve paysage nuit dubaï magnifique finir surprendre ici jamais julien manon jessica thibault carla kevin paga greg maeva benji océane victoria devoir redoubler effort affronter épreuve attendre
231,47896,Meurtre en Auvergne,telefilms,49.0,1.0,5485.0,951,1,16,602,269,733,237,970,5485.0,4792803.0,4469167.0,323636.0,"Le corps d’une jeune femme est retrouvé près du Lac Pavin en Auvergne. La mise en scène du meurtre trouble les enquêteurs car elle évoque la légende du lac qui veut que les pécheurs de Besse, provoquant la colère de Dieu, ont été ensevelis, puis recouverts par les larmes du Diable. La victime était-elle considérée comme une pécheresse par son meurtrier ? Le capitaine Bruno Romagnat entame avec l’adjudant chef Aurélie Lefaivre, une enquête délicate puisqu'il connaissait la victime...",75.57,policier,,"le corps d’une jeune femme est retrouvé près du lac pavin en auvergne. la mise en scène du meurtre trouble les enquêteurs car elle évoque la légende du lac qui veut que les pécheurs de besse, provoquant la colère de dieu, ont été ensevelis, puis recouverts par les larmes du diable. la victime était-elle considérée comme une pécheresse par son meurtrier ? le capitaine bruno romagnat entame avec l’adjudant chef aurélie lefaivre, une enquête délicate puisqu'il connaissait la victime...","['corps', 'jeune', 'femme', 'retrouver', 'lac', 'pavin', 'auvergne', 'mise', 'scène', 'meurtre', 'trouble', 'enquêteur', 'évoque', 'légende', 'lac', 'vouloir', 'pécheur', 'besse', 'provoquer', 'colère', 'dieu', 'ensevelir', 'recouvrir', 'larme', 'diable', 'victime', 'considérer', 'pécheur', 'meurtrier', 'capitaine', 'bruno', 'romagnat', 'entame', 'adjuder', 'chef', 'aurélie', 'lefaivre', 'enquête', 'délicat', 'connaître', 'victime']",corps jeune femme retrouver lac pavin auvergne mise scène meurtre trouble enquêteur évoque légende lac vouloir pécheur besse provoquer colère dieu ensevelir recouvrir larme diable victime considérer pécheur meurtrier capitaine bruno romagnat entame adjuder chef aurélie lefaivre enquête délicat connaître victime
93,46234,L'emprise,telefilms,34.0,1.0,5889.0,2399,0,43,1846,415,1849,598,2447,5889.0,12820976.0,11912624.0,908352.0,"L’histoire d’une mère de quatre enfants qui se retrouve en mars 2012 dans le box des accusés des Assises de Douai pour le meurtre de son mari, un homme qui l’a battue et torturée pendant leurs dix-sept ans de mariage..",75.56,drame,,"l’histoire d’une mère de quatre enfants qui se retrouve en mars 2012 dans le box des accusés des assises de douai pour le meurtre de son mari, un homme qui l’a battue et torturée pendant leurs dix-sept ans de mariage..","['histoire', 'mère', 'enfant', 'retrouve', 'mars', 'box', 'accusé', 'assise', 'douer', 'meurtre', 'mari', 'homme', 'battue', 'torturer', 'mariage']",histoire mère enfant retrouve mars box accusé assise douer meurtre mari homme battue torturer mariage
511,47328,Le pont du diable,telefilms,48.0,1.0,5486.0,360,0,8,216,110,278,90,368,5486.0,1840714.0,1685331.0,155383.0,"André Savignac, maire de Saint-Guilhem-le-Désert est retrouvé pendu sur le Pont du Diable. C’est Franck Livarois, un berger, qui a découvert le corps. La scopolamine retrouvée dans son sang, drogue qui ôte toute volonté de résistance, est la preuve que le suicide n’est que la mise en scène d’un crime. Y a-t-il un lien avec les lettres de menace cachées dans le bureau du maire ?",75.54,drame,policier,"andré savignac, maire de saint-guilhem-le-désert est retrouvé pendu sur le pont du diable. c’est franck livarois, un berger, qui a découvert le corps. la scopolamine retrouvée dans son sang, drogue qui ôte toute volonté de résistance, est la preuve que le suicide n’est que la mise en scène d’un crime. y a-t-il un lien avec les lettres de menace cachées dans le bureau du maire ?","['andré', 'savignac', 'maire', 'retrouver', 'pendre', 'pont', 'diable', 'franck', 'livaroi', 'berger', 'découvrir', 'corps', 'scopolamine', 'retrouver', 'sang', 'drogu', 'ôte', 'volonté', 'résistance', 'preuve', 'suicide', 'mise', 'scène', 'crime', 'y', 'lien', 'lettre', 'menace', 'cacher', 'bureau', 'maire']",andré savignac maire retrouver pendre pont diable franck livaroi berger découvrir corps scopolamine retrouver sang drogu ôte volonté résistance preuve suicide mise scène crime y lien lettre menace cacher bureau maire
612,46788,Une maison pour deux,telefilms,42.0,1.0,5063.0,245,0,11,185,41,193,63,256,5063.0,1170151.0,1061662.0,108489.0,"Chef au service d'un traiteur tyrannique, Jenny espère ouvrir son propre restaurant. Le destin s'en mêle lorsqu'elle hérite de la moitié d'une demeure ; l'autre partie revenant à un trader new-yorkais, Brian. En attendant d'ouvrir son gîte-restaurant, Jenny se met aux fourneaux pour vendre des viennoiseries au café du village. C'est alors que Brian, viré de son boulot et de son appart, vient s'installer dans sa moitié de maison...",75.39,romance,,"chef au service d'un traiteur tyrannique, jenny espère ouvrir son propre restaurant. le destin s'en mêle lorsqu'elle hérite de la moitié d'une demeure ; l'autre partie revenant à un trader new-yorkais, brian. en attendant d'ouvrir son gîte-restaurant, jenny se met aux fourneaux pour vendre des viennoiseries au café du village. c'est alors que brian, viré de son boulot et de son appart, vient s'installer dans sa moitié de maison...","['chef', 'service', 'traiteur', 'tyrannique', 'jenny', 'espèr', 'ouvrir', 'propre', 'restaurant', 'destin', 'mêle', 'hérite', 'moitié', 'demeure', 'partie', 'revenir', 'trader', 'brian', 'attendre', 'ouvrir', 'gîte', 'restaurant', 'jenny', 'mettre', 'fourneau', 'vendre', 'viennoiserie', 'café', 'village', 'brian', 'virer', 'boulot', 'appart', 'venir', 'installer', 'moitié', 'maison']",chef service traiteur tyrannique jenny espèr ouvrir propre restaurant destin mêle hérite moitié demeure partie revenir trader brian attendre ouvrir gîte restaurant jenny mettre fourneau vendre viennoiserie café village brian virer boulot appart venir installer moitié maison
494,46899,Amours à mort,telefilms,52.0,1.0,5394.0,380,0,8,238,109,294,96,390,5394.0,1949090.0,1812143.0,136947.0,"Dans le Parc du haut-fourneau d’Uckange, est découvert le cadavre de Gilles Thouvenin, l’ancien directeur du site. Clément Morel, capitaine de la section criminelle de la gendarmerie de Metz, est mis sur l’enquête avec le soutien de Laure Thouvenin, fille de la victime, spécialiste de l’histoire industrielle. Cette femme libre et anticonformiste renoue avec Clément qu’elle a connu enfant. Ensemble, ils vont découvrir la vraie histoire de leurs familles respectives, révélée sur trois générations.",75.38,policier,,"dans le parc du haut-fourneau d’uckange, est découvert le cadavre de gilles thouvenin, l’ancien directeur du site. clément morel, capitaine de la section criminelle de la gendarmerie de metz, est mis sur l’enquête avec le soutien de laure thouvenin, fille de la victime, spécialiste de l’histoire industrielle. cette femme libre et anticonformiste renoue avec clément qu’elle a connu enfant. ensemble, ils vont découvrir la vraie histoire de leurs familles respectives, révélée sur trois générations.","['parc', 'uckange', 'découvrir', 'cadavre', 'gille', 'thouvenin', 'ancien', 'directeur', 'site', 'clémer', 'morel', 'capitaine', 'section', 'criminel', 'gendarmerie', 'metz', 'mettre', 'enquête', 'soutien', 'laure', 'thouvenin', 'fille', 'victime', 'spécialiste', 'histoire', 'industriel', 'femme', 'libre', 'anticonformiste', 'renoue', 'clément', 'connaître', 'enfer', 'ensemble', 'découvrir', 'vraie', 'histoire', 'famille', 'respectif', 'révéler', 'génération']",parc uckange découvrir cadavre gille thouvenin ancien directeur site clémer morel capitaine section criminel gendarmerie metz mettre enquête soutien laure thouvenin fille victime spécialiste histoire industriel femme libre anticonformiste renoue clément connaître enfer ensemble découvrir vraie histoire famille respectif révéler génération
